canonical_name,member_labels,generic_flag,generic_reason,bucket,contamination_flag
Suspended Load Hazard Detection,"['Suspended load exposure monitoring', 'Suspended loads and dock door safety monitoring', 'Suspended load/overhead crane safety (indoor future scope)', 'Suspended load hazard detection', 'Walking under suspended loads detection', 'Working under suspended loads detection']",False,,safety,False
Safety Heatmaps and Hotspot Analysis,"['Hazard hotspot mitigation using heat maps and rapid interventions (e.g., cones)', 'Behavior-based safety analytics with heat maps (pilot)', 'Safety analytics and training effectiveness tracking', 'Risk heat maps and safety analytics', 'Safety analytics dashboards and heatmaps for leading indicators', 'Safety hotspot heat mapping', 'Heat maps to locate safety hotspots and guide pre-shift coaching', 'Risk heat maps and safety analytics', 'Safety analytics dashboards and heatmaps for leading indicators', 'Heatmaps to pinpoint hazard hotspots', 'Heatmaps to identify safety hotspots', 'Heatmaps to pinpoint hazard hotspots', 'Heatmaps for targeted safety monitoring and trend detection', 'Heatmaps to locate ergonomic hotspots and adjust workflow', 'Heat maps and hotspot analytics to target high-risk areas', 'Use heatmaps and claims data to target injury reductions', 'Heat mapping of safety incidents and violations', 'Safety hotspot heat mapping to target interventions', 'Incident heat mapping to identify hotspots', 'Heatmaps to identify safety hotspots', 'Per-camera heatmap drill-down by incident type for safety prioritization', 'Hotspot identification to target high-risk areas', 'Pinpoint hazard hotspots with Heat Maps to drive mitigations', 'Safety hotspot prioritization using heatmaps', 'Access heatmaps for improper bend and overreaching', 'In-dashboard risk heat mapping and traffic management planning', 'Data-driven targeting of safety observations using heat maps and time-of-day trends', 'Heat maps to identify safety hotspots and guide layout/5S improvements']",False,,safety,False
Actions Workflow and Coaching,"['Assign and track safety actions with role-based access', 'Use assigned clips and resolutions for coaching to reduce event frequencies', 'Action tracking and accountability for safety interventions', 'Use Actions workflow to assign and track safety interventions', 'Safety incident triage and supervisor assignment workflow', 'Use Actions workflow to assign and track corrective actions in platform to remove hazards', 'Actions coaching to impact safety event counts', 'Daily safety incident digest and assignment workflow', 'Action management and coaching workflow for safety remediation', 'Assign and track safety follow-ups with Actions', 'Assign and track corrective actions in platform to remove hazards', 'Safety coaching via Actions workflow', 'Actions workflow to drive behavior change and accountability', 'Accountable coaching and training via Actions tied to incident clips', 'Actions workflow to assign and track safety corrective actions', 'Use Actions workflow for coaching and to measure impact on incidents', 'Assign and track corrective safety actions with owners and due dates', 'Track and close the loop on safety corrective actions with the Actions workflow', 'Assign and track safety follow-ups with Actions', 'Timely corrective actions and due dates for high-severity safety events', 'Assign incidents and track accountability', 'Safety tallying and follow-up workflow (tracking repeat offenders/situations)', 'Assign and track corrective safety actions with owners, due dates, and reporting', 'Automated safety actions and insights for incident follow-up', 'Supervisor-specific boards and action follow-up for safety', 'Streamlined safety workflows for leaders (assign, track, share)']",False,,safety,False
Near-Miss Detection and Reporting,"['Proactive near-miss detection and visibility', 'Automated surfacing of near-misses to address underreporting', 'Automated near-miss detection and hotspot visibility in DC', 'Near-miss capture to support pre-shift coaching and daily safety huddles', 'Near-miss detection and proactive monitoring', 'Automated near-miss capture and real-time coaching', 'Near-miss risk identification', 'Near-miss reporting and shareable analytics']",False,,safety,False
"Slip, Trip, and Fall Prevention","['Slip, trip, and fall detection', 'Slip, trip, and fall prevention with area controls', 'Walking over forks slip/trip hazard']",False,,safety,False
Safety Video Coaching and Training,"['Use incident videos for safety training and coaching (with privacy blurring)', 'Monthly safety meeting content using Voxel clips', 'Training and toolbox talks using bookmarked clips', 'Use clips for safety coaching and training', 'Use Voxel video for safety coaching and union collaboration', 'Use incident videos for safety training and coaching', 'Coaching Workshop and coaching using blurred videos and Voxel insights', 'Use anonymized video for non-punitive safety training and coaching', 'Identify unsafe dock behaviors (walking backwards, stepping over forks) and drive toolbox talks/start-of-shift coaching', 'Behavior-based safety coaching, pre-shift training, and gamification using clips']",False,,safety,False
Enterprise Safety Analytics and Benchmarking,"['Enterprise-wide safety visibility and hotspot identification', 'Safety reporting, benchmarking, and trend-driven interventions', 'Safety performance benchmarking and goal tracking', 'Safety incident reporting and trend analysis', 'Enterprise safety analytics and site benchmarking', 'Cross‑site safety analytics and benchmarking', 'Enterprise safety analytics and summary view', 'Cross-site safety incident trend monitoring and leaderboards', 'Global safety risk dashboard and heatmap visibility', 'Safety analytics and interactive reporting across shops']",False,,safety,False
Dock Safety Monitoring,"['Trailer pull-away detection at docks', 'Cold storage door/condensation/ice monitoring (safety and energy)', 'Door open/propped duration monitoring', 'Monitor freezer roll-up door open duration to prevent black ice', 'Door open duration policy enforcement (electrical and dock doors)', 'Truck going off dock detection', 'Loading dock driver confinement monitoring', 'Detect equipment set on dock plates', 'Open door duration tracking tied to ergonomics/pressure during live unloads', 'Dock and high‑collision area safety monitoring']",False,,safety,False
Lockout/Tagout Compliance Monitoring,"['Lockout/Tagout (LOTO) compliance in robotic palletizing cells', 'LOTO compliance and jam-clearing risk monitoring']",False,,safety,False
Cellphone Distraction Detection,"['Distraction detection (cellphone use)', 'Cell phone distraction monitoring', 'Cellphone distraction while walking', 'Distracted operation (cell phone use) detection and coaching']",False,,safety,False
Real-Time Safety Alerts,"['Timely alerting for safety issues', 'Timely notifications and corrective action workflows', 'Foremen-owned safety notifications with tuned thresholds', 'Timely alerts for critical safety events', 'Real-time incident alerting (email/SMS)', 'Prompt alerts for excessive speeding with configurable threshold', 'Alerting and intervention on at-risk behaviors', 'Four-pin walk-around/pin unlock detection with real-time alerts', 'Zone- and shift-based alert routing in remote areas']",False,,safety,False
Forklift Seatbelt Compliance,['Forklift seatbelt compliance'],False,,safety,False
Impact and Collision Detection,"['Racking/structure impact detection and driver violation analysis', 'Collision/impact detection on yellow posts', 'Protect laser-guided vehicles (AGVs) from forklift interactions']",False,,safety,False
Crosswalk and Walkway Compliance,"['Crosswalk compliance monitoring', 'Exterior crosswalk and stop compliance monitoring']",False,,safety,False
Robot Cell Safety Monitoring,"['Robot cell intrusion and safety interlock compliance monitoring', 'Camera-based red zone to replace light curtains']",False,,safety,False
Unsafe Forklift Load Handling,"['Unsafe forklift load handling (split forking, bulldozing, high loads)', 'Obstructed-view driving detection', 'Operator not looking in direction of travel detection', 'Forklift driving direction with obstructed view']",False,,safety,False
Yard and Outdoor Vehicle Monitoring,"['Yard gate driver behavior logging for carrier compliance', 'Yard/Outside vehicle behavior (idling/speeding)']",False,,safety,False
Pinch Point and Caught-In Hazards,"['Caught-in hazards at presses and conveyors', 'ULD handling pinch point risk detection', 'Machine pinch‑point and safety‑device circumvention detection']",False,,safety,False
Pallet Handling Safety,"['Unwrapped pallet/shrink-wrap tails (""kigtails"") detection in racks', 'Detect unsafe pallet behaviors to reduce ankle injuries', 'Optimize pallet stack heights and segregate pallet types to reduce overreach risk', 'Detect unsafe pallet jack practices for coaching', 'Housekeeping: product on floor and palletization']",False,,safety,False
Safety Gamification and Displays,"['Real-time shop displays and gamified safety goals', 'Shift-segmented safety dashboards and gamification', 'Gamify safety performance to drive adoption and outcomes']",False,,safety,False
Incident Severity Scoring and Prioritization,"['Incident severity scoring and prioritization', 'Prioritize review by severity to focus on high-risk cases', 'SIF/CIF precursor and serious-risk detection']",False,,safety,False
Impact Measurement and Trend Analysis,"['Quantify impact of safety interventions with leading indicators and markers', 'Track intervention impact with platform markers', 'Post-intervention markers and trend analysis to validate safety actions', 'Change impact markers after lowering rack at Headliners', 'Leading indicator and behavior change tracking', 'Baseline and trend safety events (before/after) to measure impact', 'Safety trend review and recommendations', 'Shift-level safety trend analysis']",False,,safety,False
Conveyor Safety Monitoring,"['Encourage pop-up conveyor use at 497 unload to reduce manual handling', 'Conveyor congestion/pile-up detection to prevent falling objects', 'Unsafe behavior around conveyors and struck-by risk (pull-and-jump, leaning/sitting)']",False,,safety,False
PIT Parking Duration Monitoring,"['Monitor improper PIT parking duration at central crossway and enforce policy', 'PIT parking duration monitoring at inbound docks', 'PIT parking duration and distraction monitoring']",False,,safety,True
Fire Door and Dock Door Monitoring,['Forklifts entering dock on red light'],False,,safety,False
Forklift Pre-Use Inspection Compliance,['Forklift pre-use inspection compliance'],False,,safety,False
Dolly and Equipment Safety,"['Dolly brake/tongue position compliance', 'Load securement/stop before retrieving fallen items']",False,,safety,False
Signage and Traffic Control Analytics,['Signage effectiveness and traffic control analytics'],False,,safety,False
Safe Tool and Packaging Practices,"['Safe tool use for packaging (no tearing tape with teeth)', 'PIT use compliance for material movement']",False,,safety,False
Confined Space and Lone Worker Safety,"['Confined space risk during oven cleaning', 'Confined space entry and lone-worker detection']",False,,safety,False
E-Bike and Battery Fire Risk,"['Detect prohibited e-bikes/e-scooters indoors to mitigate lithium battery fire risk', 'Early fire-related issue detection in mills', 'Fire-related issue alerts']",False,,safety,False
Daily Safety Digest and Reporting,['Daily summary incident emails for safety review'],False,,safety,False
Camera Optimization and Rescoping,"['Re-scope cameras to monitor the right risks and repurpose low-yield cameras', 'Re-scope cameras/zones to maintain accurate safety detections and manageable incident volume', 'Eliminate 517 warehouse blind spot to capture PPE violations']",False,,safety,False
Video Incident Review,"['Post-incident video review', 'Incident investigation via video review', 'Annotate videos to highlight safety concerns not auto-detected', 'Driver exoneration using video evidence after a crash']",False,,safety,False
Shift and Time-of-Day Analysis,"['Uncover unknown safety risks across shifts (around the clock)', ""Second‑shift visibility ('eye in the sky')"", 'around the clock monitoring with real-time alerts for near misses', 'Safety risk hotspot and time-of-day analytics']",False,,safety,False
Facility Layout and Engineering Controls,['Facility layout adjustments to reduce PIT proximity risk'],False,,safety,False
Equipment and Machine Safety Monitoring,"['Equipment issue monitoring', 'Hazardous machinery safeguarding detection']",False,,safety,False
Retail-Specific Safety Monitoring,"['Retail front-of-store monitoring', 'Retail shop safety monitoring (tire inflation, lifts/blocking, falling tires)', 'Retail floor hazard detection', 'Front-of-store hotspot monitoring']",False,,safety,False
Ladder Safety Monitoring,['Ladder safety and fixed ladder elimination'],False,,safety,False
Employee vs Customer Distinction,['Employee vs. customer distinction via uniform for safety accountability'],False,,safety,False
Data Export and Integration,['Export safety data to external EHS/BI systems'],False,,safety,False
Line-of-Fire Hazard Detection,['Line-of-fire hazard observation support'],False,,safety,False
Reduce Injuries and Costs,"['Reduce injury and liability costs via targeted safety interventions', 'Injury reduction and value target', 'Reduce safety losses/incidents', 'Reduce safety incidents and claims using AI video analytics']",False,,safety,False
AI Safety Vision Platform Deployment,"['AI video analytics to gain visibility and reduce injuries', 'Build workplace safety culture with AI', 'Enterprise-scale rollout across DCs and storefronts', 'Deploy Voxel safety computer vision at distribution centers', 'AI risk monitoring deployment across sites', 'AI detection of leading safety risks from existing cameras', 'Continuous AI safety coverage vs human observation', 'Centralized safety monitoring and real-time dispatch']",False,,safety,False
Prevent Catastrophic Events,['Detect and prevent catastrophic safety events'],False,,safety,False
Augment Lean Teams with Automation,['Augment lean store teams with automated observations/alerts'],False,,safety,False
Forklift Telematics Alternative,['Camera-based alternative/complement to forklift telematics'],False,,safety,False
Regulatory and Compliance Support,['Address Federal Safety Bureau/regulatory compliance in safety programs'],False,,safety,False
Drone-Based Remote Inspection,['Drone-based remote inspection and auditing'],True,This refers to a separate technology (drones) not directly related to Voxel's core computer vision platform.,safety,False
Fatigue Monitoring Inquiry,['Fatigue monitoring inquiry (not supported by Voxel)'],True,This label explicitly states the capability is not supported by Voxel.,safety,False
EHS Management Software Adoption,['EHS management software adoption'],True,"This is a generic reference to adopting EHS software, not a specific Voxel safety use case.",safety,False
Camera Enhancements for Safety,['Camera enhancements for safety oversight (Voxel-like)'],True,This is a vague reference to camera enhancements similar to Voxel rather than a concrete use case.,safety,False
Machine Shutdown Use Case,['Machine shutdown use case (safety)'],True,This is too vague and does not specify what safety behavior is being detected or prevented.,safety,False
Powered Equipment Safety (Generic),"['Powered equipment and vehicle safety monitoring in HDCs', 'Powered industrial truck hazard detection']",True,These are overly broad umbrella terms without specifying what behaviors or hazards are monitored.,safety,False
Product Damage and Shrink Reduction,"['Reduce shrink by detecting product damage from PIT impacts', 'Product and infrastructure damage detection (collisions with racks/product)', 'Product condition monitoring', 'Sensitive product condition monitoring', 'Product damage tracking', 'Product condition and dwell-time detection', 'Reduce property damage, equipment repair costs, and product shrink from PIT incidents', 'Shrink/loss prevention from mishandling impacts', 'Shrink reduction via service alerts in high-risk aisles']",False,,nonsafety,False
Customer Support and Partnership,"['Ongoing partnership and customer success support', 'Responsive customer support and troubleshooting']",True,"These are generic vendor relationship topics, not product use cases.",nonsafety,False
Implementation and Training Optimization,"['Reduce implementation/training burden and false positives', 'Supervisor training and adoption support']",True,These describe onboarding logistics rather than specific product use cases.,nonsafety,False
Pilot and Trial Programs,"['Run a trial before broader rollout', 'Paid pilot to validate Voxel with an existing camera environment', 'Pilot KPI tracking and weekly reviews', 'Trial validation of detection and workflow integration', 'Monitoring across dispersed facilities']",True,"These describe procurement and evaluation processes, not specific product use cases.",nonsafety,False
Dashboard and UI Customization,"['Restore dashboard deep links in daily incident email', 'Role‑based boards and dashboard customization for MODs', 'Executive all-sites dashboard with custom date ranges for weekly leadership reporting', 'Shift-based dashboards and gamification', 'Role-based boards and camera access for supervisors', 'Use of Voxel boards for simple data visualization and team communication', 'Distributed area ownership via Boards and tier process', 'Role/shift/incident-specific dashboards (""boards"") for operations', 'Data overload management via Boards and filtered default views', 'Boards for targeted monitoring and trend detection']",False,,nonsafety,False
System Integration and Data Export,"['Integration with incident-management and reporting systems', 'Export operational data to external BI/EHS systems', 'Integrate with existing camera infrastructure (no hardware replacement)', 'Data export/API integration for custom analytics', 'API and BI integration for leading/lagging metrics', 'Integration with an external workflow tool via API/data export', 'API feed updates/integration', 'Integrate with existing cameras and minimize IT burden']",False,,nonsafety,False
Multi-Site Rollout Planning,"['Planning for multi-site rollout requirements', 'Getting sites onto the same schedule', 'Enterprise-scale rollout across DCs and storefronts']",True,These describe deployment logistics rather than specific use cases.,nonsafety,False
Action Tracking and Accountability,"['Action workflow and accountability tracking', 'Track and find completed/in-progress actions across Wilmington', 'Reminders for past-due actions', 'Assign and track actions with accountability and reporting', 'Actions workflow for incident and task management', 'Automated reminders for overdue actions', 'Accountable coaching and training via Actions tied to incident clips', 'Safety tallying and follow-up workflow (tracking repeat offenders/situations)', 'Action management workflow with ownership, cross-shift follow-up, timelines, and impact markers', 'Supervisor accountability and action tracking in Voxel', 'Assign and track safety actions with role-based access', 'Track and close the loop on safety corrective actions with the Actions workflow', 'Action tracking and accountability for safety interventions', 'Assign and track follow-ups with Actions', 'Assign and track corrective actions in platform', 'Voxel-assigned actions to drive engagement and accountability', 'Assign incidents and track accountability', 'Action management and coaching workflow', 'Use Actions workflow to manage corrective actions and track impact', 'Assign and track actions with owners and due dates', 'Clarify workflow for rejected assigned actions and reassignment', 'Show overdue/upcoming actions and allow due date edits']",False,,nonsafety,False
Warehouse Productivity Optimization,"['Optimize pallet stack heights and segregate pallet types to improve productivity', 'Warehouse productivity via wearable device optimization', 'Operational efficiency insights from video analytics', 'Operational efficiency identification', 'Identify operational improvements and efficiency gains from data', 'Operational productivity and safety program efficiency gains', 'Reduce time spent on manual observations', 'Staff efficiency and mobile guidance']",False,,nonsafety,False
Door Duration Monitoring,"['Operational analytics: monitor open door durations', 'Open cooler/freezer door monitoring for energy/product protection', 'Dock door open-duration tracking', 'Open dock door duration monitoring and threshold tuning', 'Door open/propped duration monitoring', 'Open door duration monitoring', 'Open door monitoring for security', 'Cold storage door monitoring for energy savings', 'Open door duration tracking for turn-time management', 'After-hours dock door open alert (lights off)']",False,,nonsafety,False
Driver and Vehicle Compliance,"['Driver exoneration using video evidence after a crash', 'Yard gate driver behavior logging for carrier compliance', 'Trailer pull-away detection at docks', 'Trailer detention and turnaround time tracking']",False,,nonsafety,False
Hazard Detection and Alerting,"['High‑accuracy alerting and broad hazard detection coverage', 'Automate camera monitoring to save staff time', 'Augment lean store teams with automated observations/alerts', 'Automated alerts/digests and assignment workflows', 'Reduce manual video review workload']",False,,nonsafety,False
Language Localization,['Per-user language localization to Spanish'],False,,nonsafety,False
Safety Analytics and Reporting,"['Safety performance analytics, gamification, and automated reporting', 'Year-over-year incident trend reporting and comparison', 'Safety incident reporting and trend analysis', 'Safety performance benchmarking and goal tracking', 'Weekly trend reporting and executive/corporate views', 'Safety program analytics and workflow management', 'Safety analytics and interactive reporting across shops', 'Enterprise safety analytics and summary view', 'Safety reporting and coaching workflows', 'Cross-site and shift compliance benchmarking']",False,,nonsafety,False
Training and LMS Integration,"['Use Voxel videos in training and explore LMS (Cornerstone) integration', 'Training content efficiency using bookmarked clips']",False,,nonsafety,False
